,country,year,gdp_per_capita,suicides/100k pop,75+ years,55-74 years,35-54 years,25-34 years,15-24 years,5-14 years,male,female,HDI for year
0,Albania,1987,796,31.85,7.4,0.73,7.34,4.84,11.54,0.0,20.5,11.35,0.673
1,Albania,1988,769,32.46,9.97,4.88,5.87,3.7,8.04,0.0,18.91,13.55,0.673
2,Albania,1989,833,33.4,8.89,4.89,7.140000000000001,7.1,5.38,0.0,27.88,5.5200000000000005,0.673
3,Albania,1992,251,18.0,0.0,3.7399999999999998,4.11,4.35,5.800000000000001,0.0,12.88,5.12,0.673
4,Albania,1993,437,32.56,4.13,5.42,4.96,6.58,10.91,0.56,22.8,9.76,0.673
5,Albania,1994,697,32.18,13.14,6.99,3.06,4.12,4.6,0.27,22.37,9.81,0.673
6,Albania,1995,835,40.55,8.88,6.17,5.960000000000001,8.23,9.149999999999999,2.16,24.49,16.06,0.619
7,Albania,1996,1127,43.62,12.719999999999999,2.2199999999999998,5.65,9.68,12.54,0.81,26.16,17.46,0.673
8,Albania,1997,793,77.43,16.560000000000002,6.66,9.77,21.09,20.64,2.71,56.15,21.28,0.673
9,Albania,1998,899,66.52,11.63,8.09,9.89,14.45,21.68,0.78,46.18,20.34,0.673
10,Albania,1999,1127,69.81,21.009999999999998,10.74,9.27,12.54,15.98,0.27,44.49,25.32,0.673
11,Albania,2000,1299,30.7,9.309999999999999,5.64,2.58,8.55,4.35,0.27,20.41,10.29,0.656
12,Albania,2001,1451,50.620000000000005,7.450000000000001,8.75,12.22,12.450000000000001,7.23,2.52,34.22,16.400000000000002,0.673
13,Albania,2002,1573,62.51,15.01,8.649999999999999,13.16,14.280000000000001,10.77,0.64,45.78,16.73,0.673
14,Albania,2003,2021,58.6,15.280000000000001,12.54,10.66,8.42,10.42,1.28,29.400000000000002,29.2,0.673
15,Albania,2004,2544,65.39,17.15,6.3,14.29,12.8,13.469999999999999,1.3800000000000001,40.85,24.54,0.673
16,Albania,2005,2931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.695
17,Albania,2006,3235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.673
18,Albania,2007,3863,65.85,24.11,10.32,11.23,9.58,9.14,1.47,43.99,21.86,0.673
19,Albania,2008,4672,71.05,12.91,12.27,14.63,17.08,11.08,3.08,42.14,28.91,0.673
20,Albania,2009,4387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.673
